<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX,W,20171016,00:00,120.8000000,122.5500000,118.4500000,119.4400000,51631160
MOEX,W,20171023,00:00,119.6000000,121.4000000,117.2300000,118.4000000,41215540
MOEX,W,20171030,00:00,118.6900000,120.7000000,117.1800000,120.3100000,35681980
MOEX,W,20171106,00:00,120.7200000,128.4400000,120.6700000,126.8000000,51029940
MOEX,W,20171113,00:00,126.5000000,127.2300000,119.5000000,119.5000000,61892020
MOEX,W,20171120,00:00,120.0000000,130.0000000,119.0100000,126.2800000,43260910
MOEX,W,20171127,00:00,126.2800000,127.1000000,121.3600000,122.6100000,36920190
MOEX,W,20171204,00:00,122.0300000,123.8700000,115.6600000,119.3700000,43159710
MOEX,W,20171211,00:00,119.1700000,124.0000000,118.0000000,120.8100000,34637720
MOEX,W,20171218,00:00,120.4700000,121.7400000,108.0900000,110.1000000,43951260
MOEX,W,20171225,00:00,110.4800000,110.6600000,108.0100000,108.9700000,19971300
MOEX,W,20180101,00:00,109.2500000,110.4200000,108.0000000,108.2500000,25606770
MOEX,W,20180108,00:00,108.3500000,115.5700000,108.2500000,113.4900000,55240120
MOEX,W,20180115,00:00,113.4400000,114.9900000,111.0500000,111.5000000,39879600
MOEX,W,20180122,00:00,111.5100000,116.8000000,111.5100000,115.7500000,42170300
MOEX,W,20180129,00:00,115.7500000,119.2000000,114.2600000,115.8000000,39750120
MOEX,W,20180205,00:00,114.7600000,116.4400000,109.5200000,110.5000000,38800580
MOEX,W,20180212,00:00,111.3500000,112.5500000,110.0800000,110.6200000,29994760
MOEX,W,20180219,00:00,110.7800000,114.3900000,110.3400000,113.6800000,23333030
MOEX,W,20180226,00:00,114.4900000,116.2400000,110.9200000,115.4600000,29327110
MOEX,W,20180305,00:00,116.0100000,121.2000000,116.0100000,120.9700000,31036480
MOEX,W,20180312,00:00,120.9800000,121.2000000,114.7600000,121.0000000,39010200
MOEX,W,20180319,00:00,120.0400000,120.8800000,108.5800000,119.0000000,31898780
MOEX,W,20180326,00:00,118.5900000,118.9900000,115.9800000,117.0000000,24049510
MOEX,W,20180402,00:00,117.0300000,117.5100000,115.6700000,116.9000000,17888510
